mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
173.0400913556417,5.803732384253202,8.268158912658691,0.6032649516338703,30,log2,6,8,156,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 156}",0.9506274684775353,0.9511345701079488,0.9511673228181328,0.9509764538012057,0.00024713188396622963,16,0.9710376520460329,0.9706439598922572,0.9706442424600189,0.9707752847994363,0.00018552169509454666
206.8818213144938,2.4692318293083173,7.87689471244812,0.1174575665011265,40,sqrt,6,8,171,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 8, 'n_estimators': 171}",0.9548856082328571,0.9559505283151253,0.9556823043809476,0.95550614697631,0.0004522442325492063,3,0.9742246448941982,0.9741419721679427,0.9740218089718313,0.9741294753446574,8.327757118927673e-05
171.653489112854,0.9404663746103333,6.987226565678914,0.033856182364075005,30,sqrt,4,4,137,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 137}",0.9565772103254089,0.9574263125194449,0.9572969723160564,0.9571001650536367,0.0003735357706075182,1,0.9801260504256475,0.9799364549036172,0.9798646660388179,0.9799757237893609,0.00011026327118983532
63.24359583854675,1.2393389420975358,1.9286452929178874,0.07698084244039066,10,log2,4,7,102,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 102}",0.9116212699326433,0.9129339843332794,0.9132453528873697,0.9126002023844308,0.0007037846038816006,20,0.9183012990319376,0.9177783516328623,0.9196805434791131,0.9185867313813043,0.0008023661568696088
92.60642417271931,6.542374458376979,4.295810699462891,0.3749391982981843,20,log2,5,7,87,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 87}",0.9507853666138846,0.9515720553421166,0.9514429260153846,0.9512667826571285,0.0003444702703912408,13,0.9729997993029872,0.9726691917899353,0.9726346367180089,0.972767875936977,0.00016460022078770785
229.17257261276245,4.381242664601938,10.371530691782633,0.2603651752597973,20,log2,5,6,210,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 210}",0.9513167334346904,0.9523853376643414,0.952039788382911,0.9519139531606475,0.0004452374851534052,10,0.9733473347706976,0.9732014460155138,0.9731261375345313,0.9732249727735809,9.182296583013514e-05
297.3915593624115,0.7299533438308554,13.402871052424112,0.3007516852724678,40,log2,7,6,285,"{'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 285}",0.9496832535072735,0.9507800235201195,0.950517890031801,0.950327055686398,0.0004676461809307086,17,0.9686025222787663,0.9684274456618629,0.9684489716314628,0.968492979857364,7.795510847837893e-05
166.46861950556436,0.9313664421732324,4.1053376992543535,0.21262673068240304,10,sqrt,4,4,219,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 219}",0.922027573158907,0.9242252803199619,0.9236867193652578,0.9233131909480422,0.0009352795661507122,19,0.9285495492366551,0.9291549720386125,0.9298034633942976,0.9291693282231884,0.0005120089541604904
70.60227282842,0.6931556298535719,3.339080254236857,0.09411262120421993,40,log2,5,9,64,"{'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 9, 'n_estimators': 64}",0.9509551704268645,0.9511399889166027,0.9517031675461036,0.9512661089631903,0.00031812431764007774,14,0.973583212862193,0.9729073705603015,0.9733211688670054,0.9732705840965,0.00027822031858678003
157.9242134888967,0.9121499125362929,7.004558086395264,0.07624683258417592,20,log2,7,4,157,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 157}",0.9494385362879061,0.9500913397736198,0.9496876791906087,0.9497391850840448,0.00026898294931586417,18,0.9681361525038097,0.9676881899870337,0.967534179184103,0.9677861738916489,0.0002553345564579815
334.9808597564697,8.789102281615435,25.91667326291402,0.881522275847104,30,log2,2,4,278,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 278}",0.9549055672511128,0.9557109970372006,0.9555727002070317,0.9553964214984484,0.00035164842518652545,4,0.987781601497469,0.9876021211867301,0.9876192160331363,0.9876676462391117,8.088019586133916e-05
265.39934094746906,3.4941887522300905,10.770902474721273,0.7238920268207547,30,sqrt,6,2,216,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 2, 'n_estimators': 216}",0.9549637642523947,0.9560356968809375,0.9558455409020246,0.9556150006784523,0.0004669914246516251,2,0.974334428229337,0.9741974520773763,0.9740937158139604,0.9742085320402246,9.858225300613559e-05
69.93396703402202,0.7101629517326622,3.261210838953654,0.08416854880452464,20,log2,2,5,63,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 63}",0.9531677134772444,0.9534847642301704,0.9533216421994741,0.9533247066356297,0.00012945356454329302,9,0.9839802677236666,0.9836368564274675,0.9836281391953083,0.9837484211154809,0.00016397893122712553
112.94922121365865,3.130629373111877,5.47748859723409,0.1668087434629857,20,log2,2,3,102,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 102}",0.9535690911075632,0.9544235088673032,0.9540103045413011,0.9540009681720557,0.00034887705846311373,7,0.9854116333901728,0.9852295322254133,0.9852107663055029,0.9852839773070298,9.059100989283899e-05
237.10323333740234,3.256897659687232,10.652797619501749,0.12035685915462689,20,log2,5,8,237,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 237}",0.951396596590274,0.9522837798797975,0.95195800745782,0.9518794613092972,0.0003664247720776862,11,0.9734202856241775,0.9731633925170011,0.9731121046181599,0.9732319275864462,0.00013482500985940142
224.44872347513834,0.7663370882011794,10.346347332000732,0.08914486859443696,30,log2,6,9,224,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 9, 'n_estimators': 224}",0.9508125780093506,0.9513436209268873,0.9515058605287183,0.9512206864883188,0.0002960797415729323,15,0.9711637150900467,0.9708037477312694,0.9708799178498905,0.9709491268904022,0.00015489037696102647
112.56623752911885,0.40655864431411554,5.619255781173706,0.1285453940806701,30,log2,2,5,99,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 99}",0.9539000033927016,0.9547132653841195,0.9544483113346623,0.9543538600371612,0.00033866360140112823,6,0.9860835651031126,0.9859936909607339,0.9859024383064995,0.985993231456782,7.394541892838163e-05
198.9492288430532,1.959015441997049,9.461608250935873,0.10719558249790635,40,log2,3,7,183,"{'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 183}",0.9533832038489656,0.9541261400043834,0.9538887908308682,0.9537993782280724,0.000309821984275713,8,0.9810415628669612,0.9808060423895357,0.9807570507177561,0.9808682186580843,0.00012419395325940653
267.9323927561442,1.410636485703873,12.475115140279135,0.5171472719821457,20,log2,5,7,270,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 270}",0.9513410759642993,0.9522542997963452,0.9519363955656378,0.9518439237754275,0.00037851262932933036,12,0.973404210230623,0.9731761402808613,0.9730975293756183,0.9732259599623676,0.00013006354140862245
228.8845463593801,5.64982207733891,11.099296490351358,0.6057390746935055,30,log2,3,5,211,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 211}",0.9536029453075207,0.9550194584746872,0.954453437608816,0.9543586137970079,0.0005821632386501108,5,0.9820156249612152,0.9820105151941722,0.981834573876378,0.9819535713439218,8.416977046893002e-05
